user_id,timestamp,start_city,start_state,start_country,end_city,end_state,end_country,distance_km,mode_of_transport,purpose,Origin_Lat,Origin_Lon,Dest_Lat,Dest_Lon
1001,2025-03-04 11:00:00,Shimla,Himachal Pradesh,India,Bhopal,Madhya Pradesh,India,296,Car,Family Visit,31.1041526,77.1709729,23.2584857,77.401989
1001,2025-03-09 18:00:00,Manali,Himachal Pradesh,India,New Delhi,Delhi,India,1245,Flight,Work,32.2454608,77.1872926,28.6430858,77.2192671
1001,2025-03-10 21:00:00,Visakhapatnam,Andhra Pradesh,India,Surat,Gujarat,India,1382,Car,Work,17.6935526,83.2921297,21.2094892,72.8317058
1001,2025-03-16 01:00:00,Ahmedabad,Gujarat,India,Raipur,Chhattisgarh,India,576,Bus,Work,23.0215374,72.5800568,21.2380912,81.6336993
1001,2025-03-17 03:00:00,Chandigarh,Chandigarh,India,Bengaluru,Karnataka,India,1475,Car,Return Trip,30.7334421,76.7797143,12.9767936,77.590082
1001,2025-03-21 12:00:00,Lucknow,Uttar Pradesh,India,Thiruvananthapuram,Kerala,India,926,Bus,Tourism,26.8381,80.9346001,8.4882267,76.947551
1001,2025-03-25 19:00:00,Hyderabad,Telangana,India,Pune,Maharashtra,India,894,Car,Family Visit,17.360589,78.4740613,18.5213738,73.8545071
1001,2025-03-29 04:00:00,Bhopal,Madhya Pradesh,India,Lucknow,Uttar Pradesh,India,1102,Bus,Business,23.2584857,77.401989,26.8381,80.9346001
1001,2025-04-03 13:00:00,Goa,Goa,India,Bhopal,Madhya Pradesh,India,620,Flight,Leisure,15.4989946,73.8282141,23.2584857,77.401989
1001,2025-04-06 22:00:00,Kolkata,West Bengal,India,Patna,Bihar,India,887,Car,Business,22.5726459,88.3638953,25.6093239,85.1235252
1001,2025-04-12 03:00:00,Shimla,Himachal Pradesh,India,Nagpur,Maharashtra,India,1177,Car,Work,31.1041526,77.1709729,21.1498134,79.0820556
1001,2025-04-17 04:00:00,Guwahati,Assam,India,Jaipur,Rajasthan,India,430,Flight,Business,26.1805978,91.753943,26.9154576,75.8189817
1001,2025-04-22 11:00:00,Goa,Goa,India,Shimla,Himachal Pradesh,India,125,Car,Tourism,15.4989946,73.8282141,31.1041526,77.1709729
1001,2025-04-23 19:00:00,Jaipur,Rajasthan,India,Indore,Madhya Pradesh,India,1257,Bus,Leisure,26.9154576,75.8189817,22.7203616,75.8681996
1001,2025-04-27 02:00:00,Varanasi,Uttar Pradesh,India,Raipur,Chhattisgarh,India,159,Train,Trekking,25.3356491,83.0076292,21.2380912,81.6336993
1001,2025-05-02 10:00:00,Lucknow,Uttar Pradesh,India,Pune,Maharashtra,India,1011,Train,Trekking,26.8381,80.9346001,18.5213738,73.8545071
1001,2025-05-07 13:00:00,Bhubaneswar,Odisha,India,Goa,Goa,India,364,Train,Family Visit,20.2602964,85.8394521,15.4989946,73.8282141
1001,2025-05-09 18:00:00,Ranchi,Jharkhand,India,Goa,Goa,India,1166,Bus,Leisure,23.3700501,85.3250387,15.4989946,73.8282141
1001,2025-05-15 04:00:00,Guwahati,Assam,India,Kolkata,West Bengal,India,775,Train,Trekking,26.1805978,91.753943,22.5726459,88.3638953
1001,2025-05-20 08:00:00,Ranchi,Jharkhand,India,Lucknow,Uttar Pradesh,India,1480,Train,Trekking,23.3700501,85.3250387,26.8381,80.9346001
1001,2025-05-21 12:00:00,Ranchi,Jharkhand,India,Jodhpur,Rajasthan,India,1216,Flight,Work,23.3700501,85.3250387,26.2967719,73.0351433
1001,2025-05-26 14:00:00,Goa,Goa,India,Ahmedabad,Gujarat,India,427,Flight,Business,15.4989946,73.8282141,23.0215374,72.5800568
1001,2025-05-29 20:00:00,Shimla,Himachal Pradesh,India,Indore,Madhya Pradesh,India,238,Flight,Business,31.1041526,77.1709729,22.7203616,75.8681996
1001,2025-06-03 00:00:00,Patna,Bihar,India,Thiruvananthapuram,Kerala,India,931,Flight,Business,25.6093239,85.1235252,8.4882267,76.947551
1001,2025-06-06 06:00:00,Chandigarh,Chandigarh,India,Jaipur,Rajasthan,India,416,Bus,Family Visit,30.7334421,76.7797143,26.9154576,75.8189817
1001,2025-06-09 09:00:00,Jaipur,Rajasthan,India,Guwahati,Assam,India,1435,Car,Trekking,26.9154576,75.8189817,26.1805978,91.753943
1001,2025-06-13 16:00:00,Shimla,Himachal Pradesh,India,Pune,Maharashtra,India,670,Flight,Leisure,31.1041526,77.1709729,18.5213738,73.8545071
1001,2025-06-15 21:00:00,Ahmedabad,Gujarat,India,Jodhpur,Rajasthan,India,556,Train,Business,23.0215374,72.5800568,26.2967719,73.0351433
1001,2025-06-20 06:00:00,Bhopal,Madhya Pradesh,India,Amritsar,Punjab,India,1444,Bus,Tourism,23.2584857,77.401989,31.6356659,74.8787496
1001,2025-06-24 16:00:00,New Delhi,Delhi,India,Indore,Madhya Pradesh,India,1264,Train,Return Trip,28.6430858,77.2192671,22.7203616,75.8681996
1001,2025-06-29 23:00:00,Hyderabad,Telangana,India,New Delhi,Delhi,India,555,Train,Family Visit,17.360589,78.4740613,28.6430858,77.2192671
1001,2025-07-03 03:00:00,Bengaluru,Karnataka,India,Kolkata,West Bengal,India,899,Train,Trekking,12.9767936,77.590082,22.5726459,88.3638953
1001,2025-07-06 10:00:00,Ranchi,Jharkhand,India,Mumbai,Maharashtra,India,249,Bus,Tourism,23.3700501,85.3250387,19.054999,72.8692035
1001,2025-07-11 13:00:00,Shimla,Himachal Pradesh,India,Chandigarh,Chandigarh,India,1060,Train,Trekking,31.1041526,77.1709729,30.7334421,76.7797143
1001,2025-07-12 18:00:00,Jodhpur,Rajasthan,India,Pune,Maharashtra,India,307,Train,Leisure,26.2967719,73.0351433,18.5213738,73.8545071
1001,2025-07-17 20:00:00,Indore,Madhya Pradesh,India,Jaipur,Rajasthan,India,1011,Train,Leisure,22.7203616,75.8681996,26.9154576,75.8189817
1001,2025-07-19 05:00:00,Chandigarh,Chandigarh,India,Goa,Goa,India,995,Train,Return Trip,30.7334421,76.7797143,15.4989946,73.8282141
1001,2025-07-20 12:00:00,Goa,Goa,India,Kolkata,West Bengal,India,889,Car,Tourism,15.4989946,73.8282141,22.5726459,88.3638953
1001,2025-07-21 22:00:00,Amritsar,Punjab,India,Manali,Himachal Pradesh,India,1103,Bus,Work,31.6356659,74.8787496,32.2454608,77.1872926
1001,2025-07-26 03:00:00,Dehradun,Uttarakhand,India,Nagpur,Maharashtra,India,1413,Bus,Business,30.3255646,78.0436813,21.1498134,79.0820556
1001,2025-07-30 09:00:00,Raipur,Chhattisgarh,India,Chandigarh,Chandigarh,India,895,Bus,Tourism,21.2380912,81.6336993,30.7334421,76.7797143
1001,2025-08-02 17:00:00,Varanasi,Uttar Pradesh,India,Surat,Gujarat,India,575,Flight,Family Visit,25.3356491,83.0076292,21.2094892,72.8317058
1001,2025-08-03 22:00:00,Raipur,Chhattisgarh,India,Thiruvananthapuram,Kerala,India,137,Car,Family Visit,21.2380912,81.6336993,8.4882267,76.947551
1001,2025-08-08 05:00:00,Indore,Madhya Pradesh,India,Bhopal,Madhya Pradesh,India,1046,Flight,Family Visit,22.7203616,75.8681996,23.2584857,77.401989
1001,2025-08-10 14:00:00,Patna,Bihar,India,Ahmedabad,Gujarat,India,1430,Flight,Work,25.6093239,85.1235252,23.0215374,72.5800568
1001,2025-08-12 00:00:00,New Delhi,Delhi,India,Visakhapatnam,Andhra Pradesh,India,339,Train,Trekking,28.6430858,77.2192671,17.6935526,83.2921297
1001,2025-08-17 09:00:00,Varanasi,Uttar Pradesh,India,Nagpur,Maharashtra,India,309,Flight,Return Trip,25.3356491,83.0076292,21.1498134,79.0820556
1001,2025-08-22 14:00:00,Visakhapatnam,Andhra Pradesh,India,Guwahati,Assam,India,711,Train,Business,17.6935526,83.2921297,26.1805978,91.753943
1001,2025-08-26 15:00:00,Raipur,Chhattisgarh,India,Pune,Maharashtra,India,80,Flight,Work,21.2380912,81.6336993,18.5213738,73.8545071
1001,2025-08-30 20:00:00,Chennai,Tamil Nadu,India,Dehradun,Uttarakhand,India,1299,Bus,Family Visit,13.0836939,80.270186,30.3255646,78.0436813
1002,2025-03-03 14:00:00,Lucknow,Uttar Pradesh,India,Guwahati,Assam,India,1396,Car,Business,26.8381,80.9346001,26.1805978,91.753943
1002,2025-03-04 17:00:00,Kolkata,West Bengal,India,Guwahati,Assam,India,501,Bus,Work,22.5726459,88.3638953,26.1805978,91.753943
1002,2025-03-08 19:00:00,Mumbai,Maharashtra,India,Surat,Gujarat,India,264,Flight,Trekking,19.054999,72.8692035,21.2094892,72.8317058
1002,2025-03-13 20:00:00,Thiruvananthapuram,Kerala,India,Jaipur,Rajasthan,India,1238,Bus,Return Trip,8.4882267,76.947551,26.9154576,75.8189817
1002,2025-03-16 04:00:00,Surat,Gujarat,India,Amritsar,Punjab,India,1130,Train,Return Trip,21.2094892,72.8317058,31.6356659,74.8787496
1002,2025-03-20 05:00:00,Hyderabad,Telangana,India,Mumbai,Maharashtra,India,373,Bus,Return Trip,17.360589,78.4740613,19.054999,72.8692035
1002,2025-03-25 15:00:00,Guwahati,Assam,India,Mumbai,Maharashtra,India,159,Flight,Tourism,26.1805978,91.753943,19.054999,72.8692035
1002,2025-03-27 18:00:00,Agra,Uttar Pradesh,India,Dehradun,Uttarakhand,India,621,Car,Tourism,27.1752554,78.0098161,30.3255646,78.0436813
1002,2025-04-02 01:00:00,Guwahati,Assam,India,Manali,Himachal Pradesh,India,1008,Bus,Work,26.1805978,91.753943,32.2454608,77.1872926
